t,X1-x,X1-y,X1-z,X1_t-x,X1_t-y,X1_t-z,X3-x,X3-y,X3-z,X3_t-x,X3_t-y,X3_t-z
0.4466667,0.04309071,1,-0.274281,2.188465,0,0.6870174,-0.1066667,1.707107,0.2071068,2,0,-5.960464E-08,
0.45,0.05038594,1,-0.2719856,2.188664,0,0.6902499,-0.1,1.707107,0.2071068,2,0,2.980232E-08,
0.4533333,0.05768188,1,-0.2696793,2.188861,0,0.6934897,-0.09333328,1.707107,0.2071068,2,1.192093E-07,5.960464E-08,
0.4566667,0.06497842,1,-0.2673622,2.189056,0,0.6967365,-0.08666661,1.707107,0.2071068,2,0,0,
0.46,0.07227557,1,-0.2650344,2.189249,0,0.6999905,-0.07999996,1.707107,0.2071069,2,1.192093E-07,5.960464E-08,
0.4633333,0.07957339,1,-0.2626957,2.18944,0,0.7032517,-0.0733333,1.707107,0.2071068,2,1.192093E-07,5.960464E-08,
0.4666667,0.0868718,1,-0.2603461,2.189628,0,0.7065199,-0.06666669,1.707107,0.2071068,2,-1.192093E-07,-2.980232E-08,
0.47,0.09417088,1,-0.2579855,2.189814,0,0.7097953,-0.05999999,1.707107,0.2071068,2,0,2.980232E-08,
0.4733333,0.1014706,1,-0.2556141,2.189997,0,0.7130778,-0.0533333,1.707107,0.2071068,2,-1.192093E-07,8.940697E-08,
0.4766667,0.1087708,1,-0.2532317,2.190179,0,0.7163674,-0.04666668,1.707107,0.2071068,2,-1.192093E-07,2.980232E-08,
0.48,0.1160717,1,-0.2508383,2.190358,0,0.7196641,-0.04000003,1.707107,0.2071068,2,0,-2.980232E-08,
0.4833333,0.1233732,1,-0.2484339,2.190535,0,0.7229679,-0.03333338,1.707107,0.2071068,2,0,-2.980232E-08,
0.4866667,0.1306753,1,-0.2460185,2.19071,0,0.7262788,-0.02666666,1.707107,0.2071068,2,1.192093E-07,0,
0.49,0.137978,1,-0.243592,2.190882,0,0.7295967,-0.01999997,1.707107,0.2071068,2,-1.192093E-07,5.960464E-08,
0.4933333,0.1452812,1,-0.2411545,2.191052,0,0.7329216,-0.01333334,1.707107,0.2071068,2,0,0,
0.4966667,0.152585,1,-0.2387059,2.19122,0,0.7362536,-0.006666675,1.707107,0.2071068,2,0,-5.960464E-08,
0.5,0.1598893,1,-0.2362461,2.191386,0,0.7395926,0,1.707107,0.2071068,2,0,0,
0.5033333,0.1671942,1,-0.2337752,2.191549,0,0.7429387,0.006666645,1.707107,0.2071068,2,0,-5.960464E-08,
0.5066667,0.1744996,1,-0.2312932,2.19171,0,0.7462918,0.01333331,1.707107,0.2071068,2,1.192093E-07,0,
0.51,0.1818056,1,-0.2288,2.191868,0,0.7496519,0.01999998,1.707107,0.2071068,2,0,0,
0.5133333,0.1891121,1,-0.2262955,2.192025,0,0.7530189,0.02666666,1.707107,0.2071068,2,1.192093E-07,0,
0.5166667,0.1964191,1,-0.2237798,2.192178,0,0.756393,0.0333333,1.707107,0.2071068,2,0,0,
0.52,0.2037266,1,-0.2212529,2.19233,0,0.7597739,0.03999995,1.707107,0.2071068,2,-2.384186E-07,-5.960464E-08,
0.5233333,0.2110346,1,-0.2187147,2.192479,0,0.7631618,0.04666662,1.707107,0.2071068,2,0,5.960464E-08,
0.5266666,0.2183431,1,-0.2161651,2.192626,0,0.7665567,0.0533333,1.707107,0.2071068,2,-1.192093E-07,5.960464E-08,
0.53,0.2256521,1,-0.2136043,2.192771,0,0.7699585,0.05999996,1.707107,0.2071068,2,2.384186E-07,0,
0.5333334,0.2329617,1,-0.2110321,2.192913,0,0.7733674,0.06666672,1.707107,0.2071068,2,1.192093E-07,0,
0.5366667,0.2402716,1,-0.2084485,2.193053,0,0.776783,0.07333338,1.707107,0.2071068,2,1.192093E-07,0,
0.54,0.247582,1,-0.2058535,2.19319,0,0.7802056,0.08000006,1.707107,0.2071068,2,1.192093E-07,5.960464E-08,
0.5433334,0.2548929,1,-0.2032471,2.193326,0,0.783635,0.08666672,1.707107,0.2071068,2,0,5.960464E-08,
0.5466667,0.2622042,1,-0.2006293,2.193458,0,0.7870713,0.09333338,1.707107,0.2071068,2,0,0,
0.55,0.2695159,1,-0.198,2.193589,0,0.7905146,0.1,1.707107,0.2071068,2,1.192093E-07,5.960464E-08,
0.5533333,0.2768281,1,-0.1953592,2.193717,0,0.7939646,0.1066667,1.707107,0.2071068,2,0,-5.960464E-08,
0.5566667,0.2841407,1,-0.1927069,2.193842,0,0.7974215,0.1133334,1.707107,0.2071068,2,-1.192093E-07,5.960464E-08,
0.56,0.2914537,1,-0.190043,2.193966,0,0.8008853,0.12,1.707107,0.2071068,2,1.192093E-07,0,
0.5633333,0.2987671,1,-0.1873676,2.194087,0,0.8043558,0.1266667,1.707107,0.2071068,2,1.192093E-07,5.960464E-08,
0.5666667,0.3060809,1,-0.1846806,2.194205,0,0.8078331,0.1333333,1.707107,0.2071068,2,2.384186E-07,-5.960464E-08,
0.57,0.3133951,1,-0.1819821,2.194321,0,0.8113173,0.14,1.707107,0.2071068,2,-1.192093E-07,0,
0.5733333,0.3207097,1,-0.1792718,2.194435,0,0.8148082,0.1466667,1.707107,0.2071068,2,0,5.960464E-08,
0.5766667,0.3280247,1,-0.17655,2.194546,0,0.8183059,0.1533333,1.707107,0.2071068,2,0,-5.960464E-08,
0.58,0.33534,1,-0.1738164,2.194655,0,0.8218105,0.16,1.707107,0.2071069,2,0,0,
0.5833333,0.3426557,1,-0.1710713,2.194761,0,0.8253217,0.1666666,1.707107,0.2071068,2,-1.192093E-07,5.960464E-08,
0.5866666,0.3499717,1,-0.1683143,2.194865,0,0.8288397,0.1733333,1.707107,0.2071068,2,3.576279E-07,0,
0.59,0.3572881,1,-0.1655457,2.194967,0,0.8323644,0.1799999,1.707107,0.2071068,2,1.192093E-07,-5.960464E-08,
0.5933333,0.3646048,1,-0.1627652,2.195066,0,0.8358958,0.1866666,1.707107,0.2071068,2,0,5.960464E-08,
0.5966667,0.371922,1,-0.159973,2.195163,0,0.839434,0.1933334,1.707107,0.2071069,2,0,5.960464E-08,
0.6,0.3792393,1,-0.157169,2.195257,0,0.8429788,0.2,1.707107,0.2071068,2,-1.192093E-07,0,
0.6033334,0.386557,1,-0.1543531,2.195349,0,0.8465303,0.2066667,1.707107,0.2071068,2,-1.192093E-07,0,
0.6066667,0.393875,1,-0.1515254,2.195439,0,0.8500885,0.2133333,1.707107,0.2071068,2,-2.384186E-07,-5.960464E-08,
0.61,0.4011933,1,-0.1486859,2.195526,0,0.8536534,0.22,1.707107,0.2071068,2,1.192093E-07,0,
0.6133333,0.4085118,1,-0.1458344,2.19561,0,0.8572248,0.2266667,1.707107,0.2071068,2,1.192093E-07,0,
0.6166667,0.4158307,1,-0.142971,2.195693,0,0.8608029,0.2333334,1.707107,0.2071068,2,0,5.960464E-08,
0.62,0.4231498,1,-0.1400957,2.195772,0,0.8643878,0.24,1.707107,0.2071068,2,0,0,
0.6233333,0.4304691,1,-0.1372084,2.19585,0,0.867979,0.2466667,1.707107,0.2071069,2,-1.192093E-07,0,
0.6266667,0.4377887,1,-0.1343091,2.195925,0,0.8715771,0.2533333,1.707107,0.2071068,2,0,0,
0.63,0.4451086,1,-0.1313979,2.195997,0,0.8751816,0.26,1.707107,0.2071068,2,-2.384186E-07,-5.960464E-08,
0.6333333,0.4524287,1,-0.1284746,2.196067,0,0.8787926,0.2666667,1.707107,0.2071068,2,0,0,
0.6366667,0.459749,1,-0.1255393,2.196134,0,0.8824105,0.2733333,1.707107,0.2071068,2,2.384186E-07,5.960464E-08,
0.64,0.4670696,1,-0.1225919,2.196199,0,0.8860347,0.28,1.707107,0.2071068,2,0,0,
0.6433333,0.4743903,1,-0.1196324,2.196262,0,0.8896655,0.2866666,1.707107,0.2071068,2,2.384186E-07,0,
0.6466666,0.4817113,1,-0.1166608,2.196322,0,0.8933028,0.2933333,1.707107,0.2071068,2,0,5.960464E-08,
0.65,0.4890324,1,-0.1136771,2.19638,0,0.8969467,0.3,1.707107,0.2071068,2,0,0,
0.6533333,0.4963538,1,-0.1106811,2.196435,0,0.900597,0.3066666,1.707107,0.2071068,2,2.384186E-07,0,
0.6566667,0.5036755,1,-0.107673,2.196488,0,0.9042538,0.3133334,1.707107,0.2071068,2,-2.384186E-07,0,
0.66,0.5109972,1,-0.1046527,2.196538,0,0.9079172,0.3200001,1.707107,0.2071068,2,0,0,
0.6633334,0.518319,1,-0.1016202,2.196586,0,0.911587,0.3266667,1.707107,0.2071068,2,0,5.960464E-08,
0.6666667,0.5256411,1,-0.0985755,2.196632,0,0.9152632,0.3333334,1.707107,0.2071068,2,0,-5.960464E-08,
0.67,0.5329632,1,-0.09551847,2.196675,0,0.9189459,0.34,1.707107,0.2071068,2,0,0,
0.6733333,0.5402856,1,-0.09244916,2.196715,0,0.922635,0.3466667,1.707107,0.2071068,2,-2.384186E-07,0,
